,emisor,mencionado,texto,rt,localizacion,texto_limpio,sent_score
851,ExoMedios,,🌀 Científicos explican por qué viven más tiempo las mujeres que los hombres #Longevidad https://t.co/XTfQFHDhJU,False,"Comunidad de Madrid, España",Científicos explican por qué viven más tiempo las mujeres que los hombres Longevidad,0.0
852,LaRedRevela,,"🔵 Caminar lento a los 45 años, un indicador de envejecimiento acelerado https://t.co/CI5hfvGCI2",False,"Comunidad de Madrid, España",Caminar lento a los 45 años un indicador de envejecimiento acelerado,0.0
853,InfoTextual,,"🔷 Discapacidad, ¿el precio por vivir más? #Envejecimiento https://t.co/xLbmvw0H7q",False,"Comunidad de Madrid, España",Discapacidad ¿el precio por vivir más Envejecimiento,0.0
854,ProEditores,,"🔵 Caminar lento a los 45 años, un indicador de envejecimiento acelerado https://t.co/wB60H8cQfo",False,"Comunidad de Madrid, España",Caminar lento a los 45 años un indicador de envejecimiento acelerado,0.0
855,Gob Copiapo,BassaurePaulina,"La Gob @BassaurePaulina compartió con más de 100 adultos mayores una jornada de reflexión en el marco del Programa Envejecimiento Activo. Instancia en la que dialogaron sobre las iniciativas que impulsa el Gobierno a través de la #AgendaSocial, entre ellas mejores pensiones. https://t.co/7bCCXR7PrT",False,Copiapó,La Gob  compartió con más de 100 adultos mayores una jornada de reflexión en el marco del Programa Envejecimiento Activo Instancia en la que dialogaron sobre las iniciativas que impulsa el Gobierno a través de la AgendaSocial entre ellas mejores pensiones,0.8689
856,TuitSugerido,,"🌀 ¿Te gustaría vivir más tiempo? Asegúrate de tener una pareja feliz, dice la ciencia https://t.co/S5V72etvsx",False,"Comunidad de Madrid, España",¿Te gustaría vivir más tiempo Asegúrate de tener una pareja feliz dice la ciencia,0.8176
857,Yimy Mc08,,"Cuatro hermanos de 110, 109, 103 y 101 años iluminan los genes de la longevidad https://t.co/xF5nk0Ie6h",False,,Cuatro hermanos de 110 109 103 y 101 años iluminan los genes de la longevidad,0.0
858,Marilyn13213270,PrensaFrente,RT @PrensaFrente: [AHORA] Se despacha desde el Senado Ley que aumenta Pensión Básica Solidaria y Aporte Previsional Solidario. Los montos s…,True,,AHORA Se despacha desde el Senado Ley que aumenta Pensión Básica Solidaria y Aporte Previsional Solidario Los montos s…,0.5267
859,MayuryZambrano,"IESSPastaza, IESSPastaza","RT @IESSPastaza: Jubilados de los Talleres de Envejecimiento Activo, del @IESSPastaza, participaron con una pieza musical vocal en las inst…",True,,Jubilados de los Talleres de Envejecimiento Activo del  participaron con una pieza musical vocal en las inst…,0.4019
860,llemj,"elindepcom, FundlaCaixa",RT @elindepcom: . @FundlaCaixa ha concedido este año a 45 proyectos que pretenden dar respuesta a retos sociales derivados del envejecimien…,True,Canary Islands (Spain),ha concedido este año a 45 proyectos que pretenden dar respuesta a retos sociales derivados del envejecimien…,0.3182
861,LaPublicacion,,🔵 Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30 https://t.co/OPCEek1vPX,False,"Madrid, Comunidad de Madrid",Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30,0.4404
862,Difusion365,,"🌀 Caminar lento a los 45 años, un indicador de envejecimiento prematuro #Estudio https://t.co/9bhHDI06Ut",False,"Comunidad de Madrid, España",Caminar lento a los 45 años un indicador de envejecimiento prematuro Estudio,0.0
863,LaCronologia,,🔷 Si quieres vivir muchos años... Asegúrate de tener una pareja feliz https://t.co/k9E1wrIy7G,False,"Comunidad de Madrid, España",Si quieres vivir muchos años Asegúrate de tener una pareja feliz,0.743
864,Informedios,,🌀 Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30 https://t.co/wedNgAGGa7,False,"Comunidad de Madrid, España",Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30,0.4404
865,ApunteIndicado,,🔷 ¿Cuántos años podemos vivir los humanos? #Longevidad https://t.co/7U8LrQBQSE,False,"Sevilla, España",¿Cuántos años podemos vivir los humanos Longevidad,0.0
866,lucentina1952,Geriatriamexico,RT @Geriatriamexico: Las #PersonasMayores tienen derecho a la igualdad y no discriminación por razones de edad https://t.co/pBNFvgFOtq,True,,Las PersonasMayores tienen derecho a la igualdad y no discriminación por razones de edad,0.0
867,LaPublicacion,,"🔵 ¿Te gustaría vivir más tiempo? Asegúrate de tener una pareja feliz, dice la ciencia https://t.co/HcFnByOqi6",False,"Madrid, Comunidad de Madrid",¿Te gustaría vivir más tiempo Asegúrate de tener una pareja feliz dice la ciencia,0.8176
868,Pedro Socias,agarcod,"RT @agarcod: 🇪🇸 En 2050 habrá 78,4 personas mayores de 64 años por cada 100 personas entre 20 y 64 años. Es casi el doble de la estimación…",True,"Sa Pobla, Mallorca",En 2050 habrá 784 personas mayores de 64 años por cada 100 personas entre 20 y 64 años Es casi el doble de la estimación…,0.0
869,MarioAnd7,adnradiochile,"RT @adnradiochile: AUDIO | Experto en envejecimiento: ""Ellos son la verdadera primera línea"" https://t.co/OW5KDl5QDN #CiudadanoADN https://…",True,"Concepción, Chile.",AUDIO  Experto en envejecimiento Ellos son la verdadera primera línea  CiudadanoADN …,0.4215
870,Milicia LaGuair,,"La granada es una fruta con importantes propiedades curativas. Su contenido en sustancias como la vitamina C y los flavonoides ayudan a la prevención de enfermedades cardiovasculares, el envejecimiento y algunos tipos de cáncer. #8DicPaLaGuaira https://t.co/YYZjc2ZEWP",False,"La Guaira, Venezuela",La granada es una fruta con importantes propiedades curativas Su contenido en sustancias como la vitamina C y los flavonoides ayudan a la prevención de enfermedades cardiovasculares el envejecimiento y algunos tipos de cáncer 8DicPaLaGuaira,0.0772
871,ClaudiaPeez,beajolie38,RT @beajolie38: Un estudio reveló que las peleas o discusiones regulares en una relación de pareja pueden favorecer la longevidad de sus in…,True,Ecuador,Un estudio reveló que las peleas o discusiones regulares en una relación de pareja pueden favorecer la longevidad de sus in…,0.0258
872,NeoInformes,,🌀 ¿Cuántos años podemos vivir los humanos? #Longevidad https://t.co/yJp6m2qxnx,False,"Comunidad de Madrid, España",¿Cuántos años podemos vivir los humanos Longevidad,0.0
873,Enedina37049621,jovenes CyL,"RT @jovenes_CyL: Nunca nadie supo plasmar como Miguel Delibes, la idiosincrasia propia de #CastillayLeón.
La despoblación del rural, el env…",True,,"Nunca nadie supo plasmar como Miguel Delibes la idiosincrasia propia de CastillayLeón
La despoblación del rural el env…",-0.296
874,jorgeroufakis,judith apaza,@judith_apaza Envejecimiento poblacional y mochi 😬,False,Bolivia,Envejecimiento poblacional y mochi,0.0
875,DatoAlMinuto,,🔵 Si quieres vivir muchos años... Asegúrate de tener una pareja feliz https://t.co/iCvu3ZA7rr,False,"Comunidad de Madrid, España",Si quieres vivir muchos años Asegúrate de tener una pareja feliz,0.743
876,memistyco90,adnradiochile,"RT @adnradiochile: AUDIO | Experto en envejecimiento: ""Ellos son la verdadera primera línea"" https://t.co/OW5KDl5QDN #CiudadanoADN https://…",True,Peumo / La Serena /Chile,AUDIO  Experto en envejecimiento Ellos son la verdadera primera línea  CiudadanoADN …,0.4215
877,D artav,elbotiquinmx,RT @elbotiquinmx: Esto las convierte en una fuente perfecta para luchar contra el envejecimiento. https://t.co/r055SET8OR,True,,Esto las convierte en una fuente perfecta para luchar contra el envejecimiento,0.296
878,Bernallorenita1,julcar gye,"@julcar_gye No por eso hay que ridiculizarlo, para ud estará bien. Sin embargo,  hay que fortalecer el respeto al envejecimiento.",False,Quito ,No por eso hay que ridiculizarlo para ud estará bien Sin embargo  hay que fortalecer el respeto al envejecimiento,0.4939
879,RGInvest,Manuj Hidalgo,"RT @Manuj_Hidalgo: A ver chicas y chicos, los tipos de interés reales están relacionados con la productividad a largo plazo, y está a su ve…",True,,A ver chicas y chicos los tipos de interés reales están relacionados con la productividad a largo plazo y está a su ve…,0.4588
880,chilezuela,adnradiochile,"RT @adnradiochile: AUDIO | Experto en envejecimiento: ""Ellos son la verdadera primera línea"" https://t.co/OW5KDl5QDN #CiudadanoADN https://…",True,Al sur de la justicia ,AUDIO  Experto en envejecimiento Ellos son la verdadera primera línea  CiudadanoADN …,0.4215
881,adnradiochile,,"AUDIO | Experto en envejecimiento: ""Ellos son la verdadera primera línea"" https://t.co/OW5KDl5QDN #CiudadanoADN https://t.co/sHevoLsJaY",False,"Santiago, Chile",AUDIO  Experto en envejecimiento Ellos son la verdadera primera línea  CiudadanoADN,0.4215
882,opr tw,JordiLlatzer,"@JordiLlatzer sí, pero si descuentas el envejecimiento, lo que queda acojonante es la crisis..

https://t.co/2OS8QwR2No",False,Vigo,sí pero si descuentas el envejecimiento lo que queda acojonante es la crisis,0.1027
883,AdaBassiT,"Int Atacama, UrquietaAtacama",RT @Int_Atacama: Int.@UrquietaAtacama compartió hoy con +de 100 adultos mayores y les contó las iniciativas que está impulsando el Pdte.@se…,True,"Atacama, Chile",Int compartió hoy con de 100 adultos mayores y les contó las iniciativas que está impulsando el Pdte…,0.34
884,Carmengmaza,agarcod,"RT @agarcod: 🇪🇸 En 2050 habrá 78,4 personas mayores de 64 años por cada 100 personas entre 20 y 64 años. Es casi el doble de la estimación…",True,,En 2050 habrá 784 personas mayores de 64 años por cada 100 personas entre 20 y 64 años Es casi el doble de la estimación…,0.0
885,Datos365,,"🌀 Caminar lento a los 45 años, un indicador de envejecimiento acelerado https://t.co/ieEdYzBqm7",False,"Comunidad de Madrid, España",Caminar lento a los 45 años un indicador de envejecimiento acelerado,0.0
886,LuzAdrianaLargo,Geriatriamexico,RT @Geriatriamexico: Las #PersonasMayores tienen derecho a la igualdad y no discriminación por razones de edad https://t.co/pBNFvgFOtq,True,COLOMBIA.,Las PersonasMayores tienen derecho a la igualdad y no discriminación por razones de edad,0.0
887,Demostenes eu,Manuj Hidalgo,"RT @Manuj_Hidalgo: A ver chicas y chicos, los tipos de interés reales están relacionados con la productividad a largo plazo, y está a su ve…",True,Madrid - Zaragoza,A ver chicas y chicos los tipos de interés reales están relacionados con la productividad a largo plazo y está a su ve…,0.4588
888,RosaC 45,InfoLecturas,RT @InfoLecturas: 🔵 Si quieres vivir muchos años... Asegúrate de tener una pareja feliz https://t.co/Mv37g4zE16,True,Valencia-Venezuela,Si quieres vivir muchos años Asegúrate de tener una pareja feliz,0.743
889,InfoLecturas,,🔵 Si quieres vivir muchos años... Asegúrate de tener una pareja feliz https://t.co/Mv37g4zE16,False,"Valencia, España",Si quieres vivir muchos años Asegúrate de tener una pareja feliz,0.743
