,emisor,mencionado,texto,rt,localizacion,texto_limpio
52,TuitSugerido,,"🔰 Caminar lento a los 45 años, un indicador de envejecimiento prematuro #Estudio https://t.co/TtweZWlVQ1",False,"Comunidad de Madrid, España",Caminar lento a los 45 años un indicador de envejecimiento prematuro Estudio
53,AAVVSanBasilio,Murciasalud,"RT @Murciasalud: #BuenosDías🌞

📢Recuerda: #Salud ofrece información fiable sobre #Envejecimiento Activo y Saludable

✅Escucha el programa📻d…",True,"Murcia, España","BuenosDías

Recuerda Salud ofrece información fiable sobre Envejecimiento Activo y Saludable

Escucha el programad…"
54,Tuiterricolas,,"⚠️ Caminar lento a los 45 años, un indicador de envejecimiento prematuro #Estudio https://t.co/z3tXyqAP3s",False,"Comunidad de Madrid, España",Caminar lento a los 45 años un indicador de envejecimiento prematuro Estudio
55,ApunteIndicado,,"⚠️ ¿Te gustaría vivir más tiempo? Asegúrate de tener una pareja feliz, dice la ciencia https://t.co/ui1mYBmV0i",False,"Sevilla, España",¿Te gustaría vivir más tiempo Asegúrate de tener una pareja feliz dice la ciencia
56,ReporteActivo,,"🔰 Caminar lento a los 45 años, un indicador de envejecimiento acelerado https://t.co/2l3CrTQpwZ",False,"Comunidad de Madrid, España",Caminar lento a los 45 años un indicador de envejecimiento acelerado
57,JulianBluff,,"""Una de las formas más crueles de envejecimiento, dado lo súbito de sus efectos, es ponerte a revisar fotos de cuando eras joven. Yo nunca lo hago. Prefiero ver las de Catherine Deneuve y Candice Bergen"". 🧐 https://t.co/H81siGUH5S",False,,Una de las formas más crueles de envejecimiento dado lo súbito de sus efectos es ponerte a revisar fotos de cuando eras joven Yo nunca lo hago Prefiero ver las de Catherine Deneuve y Candice Bergen
58,FundLCastillejo,CruzRojaCuenca,"RT @CruzRojaCuenca: “Si total, no tienes nada mejor que hacer” ¿te suena? Pues aunque no lo sepas es #Maltrato. Ahora que lo sabes, elimina…",True,"Cuenca, España",“Si total no tienes nada mejor que hacer” ¿te suena Pues aunque no lo sepas es Maltrato Ahora que lo sabes elimina…
59,DebesLeerlo,,"⚠️ Discapacidad, ¿el precio por vivir más? #Envejecimiento https://t.co/sZPSoEdHKb",False,"Madrid, Comunidad de Madrid",Discapacidad ¿el precio por vivir más Envejecimiento
60,InterDifusion,,"🔰 Caminar lento a los 45 años, un indicador de envejecimiento prematuro #Estudio https://t.co/lyZS4HvHP4",False,"Comunidad de Madrid, España",Caminar lento a los 45 años un indicador de envejecimiento prematuro Estudio
61,Cristian V 74,escribinista,@escribinista Porque no se espera mucho de nuestro envejecimiento jaja,False,,Porque no se espera mucho de nuestro envejecimiento jaja
62,Area2Cartagena,Murciasalud,"RT @Murciasalud: #BuenosDías🌞

📢Recuerda: #Salud ofrece información fiable sobre #Envejecimiento Activo y Saludable

✅Escucha el programa📻d…",True,Cartagena,"BuenosDías

Recuerda Salud ofrece información fiable sobre Envejecimiento Activo y Saludable

Escucha el programad…"
63,ElIlustrativo,,💡 Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30 https://t.co/rJmm8KzCCs,False,"Comunidad de Madrid, España",Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30
64,AyusoZenon,afernb,"@afernb El principal, aunque no el único problema, del espacio rural es la vejez de la población de los pueblos.Revertir el proceso de envejecimiento es enormemente https://t.co/91iGau8RvO cuestión de las infraestructuras y el empleo, están severamente condicionadas por el presupuesto.",False,España,El principal aunque no el único problema del espacio rural es la vejez de la población de los pueblosRevertir el proceso de envejecimiento es enormemente  cuestión de las infraestructuras y el empleo están severamente condicionadas por el presupuesto
65,RepartoDigital,,💡 ¿Cuántos años podemos vivir los humanos? #Longevidad https://t.co/nWFmapnqnV,False,"Comunidad de Madrid, España",¿Cuántos años podemos vivir los humanos Longevidad
66,psainzdebaranda,"acpcejudo, regiondemurcia",RT @acpcejudo: Hoy los responsables del grupo de AF de la Coalición EIP on AHA de la @regiondemurcia hablamos de Ejercicio físico y envejec…,True,,Hoy los responsables del grupo de AF de la Coalición EIP on AHA de la  hablamos de Ejercicio físico y envejec…
67,EfectoCognitivo,,"🔰 ¿Te gustaría vivir más tiempo? Asegúrate de tener una pareja feliz, dice la ciencia https://t.co/6hWLxuYPEi",False,"Comunidad de Madrid, España",¿Te gustaría vivir más tiempo Asegúrate de tener una pareja feliz dice la ciencia
68,mastergeroUMH,GeriatricArea,"Unificar los servicios sanitarios, sociales, farmacéuticos y residenciales en la atención a los mayores como respuesta al reto del envejecimiento 

https://t.co/S1uaPTyBYv

vía @GeriatricArea",False,Online,"Unificar los servicios sanitarios sociales farmacéuticos y residenciales en la atención a los mayores como respuesta al reto del envejecimiento 



vía"
69,grisel gri,KnowAlzheimer,"RT @KnowAlzheimer: El envejecimiento no es sólo un proceso visible en el cuerpo, si no también en la #mente. Identifícalo ✋
https://t.co/4h…",True,Garin ,"El envejecimiento no es sólo un proceso visible en el cuerpo si no también en la mente Identifícalo 
…"
70,SuperTrinos,,⚠️ ¿Cuántos años podemos vivir los humanos? #Longevidad https://t.co/IP8AKs0eqD,False,"Comunidad de Madrid, España",¿Cuántos años podemos vivir los humanos Longevidad
71,pinalesaladbar,,"Nos encanta empezar el día con un delicioso Fit Bowl: fuente máxima de energía
 e incontables propiedades que nos ayudan a reforzar el sistema inmunológico,  y previenen el envejecimiento.
.
.
#pinale #madrid #breakfast #organico #bowls #açai  https://t.co/dWSBL40TWN https://t.co/7RUufaPJgD",False,"General Pardiñas, 23, Madrid","Nos encanta empezar el día con un delicioso Fit Bowl fuente máxima de energía
 e incontables propiedades que nos ayudan a reforzar el sistema inmunológico  y previenen el envejecimiento


pinale madrid breakfast organico bowls açai"
72,SuperVIHvents,SuperVIHvents,"Sobre los mitos del envejecimiento abordados en @gesida2019, los @supervihvents asistimos con mas frecuencia y diversidad a visitas medicas que nuestros coetaneos no VIH.  Con frecuencia, con abordajes subóptimos al desconocer clínica de muchas comorbilidades en personas con VIH. https://t.co/s75FLf8otM",False,"Barcelona, Spain",Sobre los mitos del envejecimiento abordados en  los  asistimos con mas frecuencia y diversidad a visitas medicas que nuestros coetaneos no VIH  Con frecuencia con abordajes subóptimos al desconocer clínica de muchas comorbilidades en personas con VIH
73,JDiez08,,"No sé si es que las redes me aceleraron el proceso de envejecimiento, pero me da una pereza inmensa siquiera comentar el tema batallitas para personas que ni saben de que van, cada año lo mismo 🤮",False,ESPAÑA - (Badajoz),No sé si es que las redes me aceleraron el proceso de envejecimiento pero me da una pereza inmensa siquiera comentar el tema batallitas para personas que ni saben de que van cada año lo mismo
74,CETEM CT,RegMurciaBrux,"RT @RegMurciaBrux: ¡Enhorabuena! 👏👏👏

#Pharaon - Pilots for Healthy and Active Ageing: soluciones digitales para un envejecimiento activo y…",True,"Yecla, Murcia","¡Enhorabuena 

Pharaon  Pilots for Healthy and Active Ageing soluciones digitales para un envejecimiento activo y…"
75,ceciliahcarr,MarcoGomezMD,"RT @MarcoGomezMD: Ingredientes de la fórmula para retrasar el envejecimiento y sus estigmas. Tomen nota:

1. Dormir mínimo 6 horas diarias.…",True,Lima,"Ingredientes de la fórmula para retrasar el envejecimiento y sus estigmas Tomen nota

1 Dormir mínimo 6 horas diarias…"
76,AnaMKey,elpais economia,El envejecimiento reducirá la renta de cada español en 6.500 euros hasta 2050 https://t.co/yXMcywaaJH vía @elpais_economia,False,Valencia,El envejecimiento reducirá la renta de cada español en 6500 euros hasta 2050  vía
77,NotaVeraz,,"🔰 ¿Te gustaría vivir más tiempo? Asegúrate de tener una pareja feliz, dice la ciencia https://t.co/20LIQ8FgMO",False,"Comunidad de Madrid, España",¿Te gustaría vivir más tiempo Asegúrate de tener una pareja feliz dice la ciencia
78,DIPUSEVI,"RedAmigableEdad, DIPUSEVI","RT @RedAmigableEdad: ✅La @DIPUSEVI ha organizado #Jornada sobre la Red de Ciudades y Comunidades Amigables con las #PersonasMayores 

✅ Cre…",True,Sevilla,"La  ha organizado Jornada sobre la Red de Ciudades y Comunidades Amigables con las PersonasMayores 

 Cre…"
79,mmpageo,CRAlicante,"RT @CRAlicante: “Si total, no tienes nada mejor que hacer” ¿te suena? Pues aunque no lo sepas es #Maltrato. Ahora que lo sabes, elimina est…",True,,“Si total no tienes nada mejor que hacer” ¿te suena Pues aunque no lo sepas es Maltrato Ahora que lo sabes elimina est…
80,mmpageo,"CRAlicante, CruzRojaEsp",RT @CRAlicante: Para cuidar a la familia y especialmente a las #personasmayores en @CruzRojaEsp hemos recopilado estos consejos para combat…,True,,Para cuidar a la familia y especialmente a las personasmayores en  hemos recopilado estos consejos para combat…
81,RegMurciaBrux,"EU H2020, CETEM CT, Murciasalud, UPCTnoticias, MIWenergia, IndraCompany","¡Enhorabuena! 👏👏👏

#Pharaon - Pilots for Healthy and Active Ageing: soluciones digitales para un envejecimiento activo y saludable

✅ 🇪🇺 @EU_H2020 

✅ 21,5 M€ 

✅41 socios/14 países

✅ @CETEM_CT @Murciasalud @UPCTnoticias @MIWenergia @IndraCompany 

#RegióndeMurcia 💪 https://t.co/680XRQyy13",False,Bruselas,"¡Enhorabuena 

Pharaon  Pilots for Healthy and Active Ageing soluciones digitales para un envejecimiento activo y saludable

   

 215 M€ 

41 socios14 países

      

RegióndeMurcia"
82,RotaDatos,,⚠️ Si quieres vivir muchos años... Asegúrate de tener una pareja feliz https://t.co/9D8kxFHdfZ,False,"Comunidad de Madrid, España",Si quieres vivir muchos años Asegúrate de tener una pareja feliz
83,BCN 0N,,"💣 Grandes avances en la lucha contra el cáncer, la diabetes, la demencia y otras enfermedades provocadas por el envejecimiento celular... https://t.co/AfsaeIxJHQ",False,"Barcelona, España",Grandes avances en la lucha contra el cáncer la diabetes la demencia y otras enfermedades provocadas por el envejecimiento celular
84,Informedios,,"🔰 ¿Te gustaría vivir más tiempo? Asegúrate de tener una pareja feliz, dice la ciencia https://t.co/ag60q5Du9l",False,"Comunidad de Madrid, España",¿Te gustaría vivir más tiempo Asegúrate de tener una pareja feliz dice la ciencia
85,Hosp Villalba,,"En torno a la mitad de la población mayor de 70 años sufrirá #artrosis debido al envejecimiento, por lo que es importante realizar una labor de prevención para llegar a esta edad en unas condiciones lo más saludables posible https://t.co/vdEnSoXtyF https://t.co/Mcm41HVBsh",False,Collado Villalba (Madrid),En torno a la mitad de la población mayor de 70 años sufrirá artrosis debido al envejecimiento por lo que es importante realizar una labor de prevención para llegar a esta edad en unas condiciones lo más saludables posible
86,CRAlicante,"CruzRojaEsp, CRE Emergencias","Para cuidar a la familia y especialmente a las #personasmayores en @CruzRojaEsp hemos recopilado estos consejos para combatir mejor el #frío ❄️☃️

#OladeFrio @CRE_Emergencias 👇 https://t.co/AkH4CU3vRO",False,Alicante,"Para cuidar a la familia y especialmente a las personasmayores en  hemos recopilado estos consejos para combatir mejor el frío 

OladeFrio"
87,CuencaEsUnica,CruzRojaCuenca,"RT @CruzRojaCuenca: “Si total, no tienes nada mejor que hacer” ¿te suena? Pues aunque no lo sepas es #Maltrato. Ahora que lo sabes, elimina…",True,"Cuenca, Castilla-La Mancha",“Si total no tienes nada mejor que hacer” ¿te suena Pues aunque no lo sepas es Maltrato Ahora que lo sabes elimina…
